2018-08-20 13:57:29 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.051 seconds}
2018-08-20 13:57:29 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1814848 bytes}
2018-08-20 13:57:29 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.03 seconds}
2018-08-20 13:57:29 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:57:29 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.03 seconds}
2018-08-20 13:57:29 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=865568 bytes}
2018-08-20 13:57:34 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=4.526 seconds}
2018-08-20 13:57:34 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=865568 bytes}
2018-08-20 13:57:39 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.203 seconds}
2018-08-20 13:57:39 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 13:57:39 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:57:39 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:57:44 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.159 seconds}
2018-08-20 13:57:44 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 13:57:44 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:57:44 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1368880 bytes}
2018-08-20 13:57:50 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.214 seconds}
2018-08-20 13:57:50 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 13:57:50 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.054 seconds}
2018-08-20 13:57:50 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:57:55 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=5.214 seconds}
2018-08-20 13:57:55 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=5.667 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=aTest, result=-21372216 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.016 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=1051696 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=1292792 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.016 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=865568 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.037 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=1301000 bytes}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:58:01 - MetricResult{metricName=ABTestSelectPercentage, selector=ABTestSelectPercentage, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:58:06 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:58:06 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=1872592 bytes}
2018-08-20 13:58:10 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=aTest, result=4.677 seconds}
2018-08-20 13:58:11 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=aTest, result=865568 bytes}
2018-08-20 13:58:11 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=0.047 seconds}
2018-08-20 13:58:11 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 13:58:11 - MetricResult{metricName=PerformanceMetricsGenerator, selector=PerformanceMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 13:58:11 - MetricResult{metricName=MemoryMetricsGenerator, selector=MemoryMetricsGenerator, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:07:20 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=4.562 seconds}
2018-08-20 14:07:20 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=1806720 bytes}
2018-08-20 14:07:25 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.135 seconds}
2018-08-20 14:07:25 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:07:30 - MetricResult{metricName=ABTestSelectRandom, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.187 seconds}
